MONTH,DISTRICT,Mortgages,Total Amount
Jan-17,ΛΕΥΚΩΣΙΑ,312,44900503.87
Feb-17,ΛΕΥΚΩΣΙΑ,380,78037105.79
Mar-17,ΛΕΥΚΩΣΙΑ,583,104324654.8
Apr-17,ΛΕΥΚΩΣΙΑ,437,55834212.05
May-17,ΛΕΥΚΩΣΙΑ,526,96459158.99
Jun-17,ΛΕΥΚΩΣΙΑ,409,117924046.7
Jul-17,ΛΕΥΚΩΣΙΑ,422,84232041.06
Aug-17,ΛΕΥΚΩΣΙΑ,493,116616693.6
Sep-17,ΛΕΥΚΩΣΙΑ,609,253957187.6
Oct-17,ΛΕΥΚΩΣΙΑ,618,87570802.09
Nov-17,ΛΕΥΚΩΣΙΑ,583,75070483.77
Dec-17,ΛΕΥΚΩΣΙΑ,680,120969265.6
Jan-17,ΑΜΜΟΧΩΣΤΟΣ,69,9796540
Feb-17,ΑΜΜΟΧΩΣΤΟΣ,94,51294019.96
Mar-17,ΑΜΜΟΧΩΣΤΟΣ,108,39330246.76
Apr-17,ΑΜΜΟΧΩΣΤΟΣ,82,16156774.39
May-17,ΑΜΜΟΧΩΣΤΟΣ,125,16869477.16
Jun-17,ΑΜΜΟΧΩΣΤΟΣ,87,67857921
Jul-17,ΑΜΜΟΧΩΣΤΟΣ,78,11274805.93
Aug-17,ΑΜΜΟΧΩΣΤΟΣ,90,14490792.04
Sep-17,ΑΜΜΟΧΩΣΤΟΣ,141,11959194.46
Oct-17,ΑΜΜΟΧΩΣΤΟΣ,108,26917811.06
Nov-17,ΑΜΜΟΧΩΣΤΟΣ,134,61166443.82
Dec-17,ΑΜΜΟΧΩΣΤΟΣ,118,63328713.69
Jan-17,ΛΑΡΝΑΚΑ,211,19953818
Feb-17,ΛΑΡΝΑΚΑ,206,28238957.44
Mar-17,ΛΑΡΝΑΚΑ,266,28295591.11
Apr-17,ΛΑΡΝΑΚΑ,157,15950192.36
May-17,ΛΑΡΝΑΚΑ,249,33106864.87
Jun-17,ΛΑΡΝΑΚΑ,210,32580458.1
Jul-17,ΛΑΡΝΑΚΑ,129,17926836.42
Aug-17,ΛΑΡΝΑΚΑ,239,32638555.12
Sep-17,ΛΑΡΝΑΚΑ,309,42659427.64
Oct-17,ΛΑΡΝΑΚΑ,260,33381653.93
Nov-17,ΛΑΡΝΑΚΑ,273,33726101.89
Dec-17,ΛΑΡΝΑΚΑ,276,38411776.25
Jan-17,ΛΕΜΕΣΟΣ,320,39192376.38
Feb-17,ΛΕΜΕΣΟΣ,339,145228768.2
Mar-17,ΛΕΜΕΣΟΣ,462,167829234.5
Apr-17,ΛΕΜΕΣΟΣ,323,77429032.7
May-17,ΛΕΜΕΣΟΣ,379,65827065.98
Jun-17,ΛΕΜΕΣΟΣ,283,93373935.58
Jul-17,ΛΕΜΕΣΟΣ,316,76940879.69
Aug-17,ΛΕΜΕΣΟΣ,347,129383190.6
Sep-17,ΛΕΜΕΣΟΣ,411,91798044.99
Oct-17,ΛΕΜΕΣΟΣ,427,98750949.95
Nov-17,ΛΕΜΕΣΟΣ,398,101025749.7
Dec-17,ΛΕΜΕΣΟΣ,523,121609537.6
Jan-17,ΠΑΦΟΣ,142,12843928.06
Feb-17,ΠΑΦΟΣ,136,29681241.03
Mar-17,ΠΑΦΟΣ,241,102437961.2
Apr-17,ΠΑΦΟΣ,121,20443607.45
May-17,ΠΑΦΟΣ,145,14531812.77
Jun-17,ΠΑΦΟΣ,155,114613353.2
Jul-17,ΠΑΦΟΣ,116,23069848.82
Aug-17,ΠΑΦΟΣ,192,33013013.18
Sep-17,ΠΑΦΟΣ,211,30157011.05
Oct-17,ΠΑΦΟΣ,277,38404151.93
Nov-17,ΠΑΦΟΣ,227,47472281.21
Dec-17,ΠΑΦΟΣ,242,48582284.09
